City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,klaksvik,62.2266,-6.589,8.51,87,100,9.33,FO,1667760241
302,meulaboh,4.1363,96.1285,24.8,86,99,1.34,ID,1667760242
303,husavik,66.0449,-17.3389,3.25,84,91,4.05,IS,1667760243
304,santa barbara,34.7333,-120.0343,19.08,70,100,1.54,US,1667760243
305,anloga,5.7947,0.8973,27.68,78,97,5.39,GH,1667760243
306,camana,-16.6228,-72.7111,20.24,66,0,4.58,PE,1667760244
307,kiunga,-6.1219,141.2906,22.21,100,100,1.17,PG,1667760244
308,juneau,58.3019,-134.4197,-2.0,100,20,3.09,US,1667760042
309,hasaki,35.7333,140.8333,10.12,54,100,3.6,JP,1667760245
310,itarema,-2.9248,-39.9167,28.74,64,88,7.5,BR,1667760246
311,carballo,43.213,-8.691,17.09,91,49,3.72,ES,1667760189
312,zaragoza,41.6561,-0.8773,16.0,51,0,4.12,ES,1667760140
313,shimoda,34.6667,138.95,12.84,71,100,4.31,JP,1667760246
314,moindou,-21.6924,165.677,24.65,84,2,3.46,NC,1667760247
315,andenes,69.3143,16.1194,4.4,65,20,8.23,NO,1667760247
316,aksu,41.1231,80.2644,8.16,37,63,1.32,CN,1667760248
317,sao filipe,14.8961,-24.4956,26.53,66,0,2.79,CV,1667760248
318,bereda,43.2686,-7.5406,12.86,88,4,2.97,ES,1667760249
319,san cristobal,7.7669,-72.225,28.1,65,92,2.17,VE,1667760249
320,umm lajj,25.0213,37.2685,24.28,58,5,3.66,SA,1667760250
321,pacific grove,36.6177,-121.9166,16.68,67,100,3.6,US,1667760251
322,roura,4.7263,-52.3274,25.95,94,75,2.06,GF,1667760251
323,halifax,44.6453,-63.5724,21.94,79,73,8.23,CA,1667759964
324,kieta,-6.2167,155.6333,25.22,87,71,1.96,PG,1667760252
325,bajil,15.0584,43.2851,29.15,58,0,0.17,YE,1667760252
326,lengshuitan,26.4111,111.5956,15.93,66,0,0.4,CN,1667760253
327,ixtapa,20.7,-105.2,27.9,54,0,2.57,MX,1667760253
328,pichayevo,53.2363,42.2032,0.49,79,16,2.35,RU,1667760254
329,lyuban,52.7985,28.0048,6.71,95,100,3.39,BY,1667760254
330,rajaldesar,28.0333,74.4667,24.76,24,82,3.54,IN,1667760255
331,bathurst,-33.4166,149.5806,12.07,93,9,1.3,AU,1667760255
332,vao,-22.6667,167.4833,23.75,84,96,7.72,NC,1667760256
333,mus,39.0,41.75,6.35,49,0,1.38,TR,1667760256
334,samarai,-10.6167,150.6667,27.73,75,77,1.89,PG,1667760257
335,tessalit,20.1986,1.0114,26.41,13,0,3.49,ML,1667760257
336,beringovskiy,63.05,179.3167,-1.83,92,100,2.43,RU,1667760258
337,gorontalo,0.5412,123.0595,24.07,93,99,1.24,ID,1667760258
338,walvis bay,-22.9575,14.5053,18.53,88,100,2.57,NA,1667760259
339,sao gabriel da cachoeira,-0.1303,-67.0892,32.89,52,40,2.06,BR,1667760259
340,obzor,42.8167,27.8833,17.12,79,100,7.65,BG,1667760260
341,marawi,7.9986,124.2928,20.16,95,100,0.83,PH,1667760260
342,chinhoyi,-17.3667,30.2,20.63,74,77,2.71,ZW,1667760261
343,dobson,36.3957,-80.7226,23.73,97,100,2.06,US,1667760261
344,emba,48.8264,58.1442,-3.68,89,19,3.73,KZ,1667760262
345,papara,-3.9839,-38.7273,31.09,64,100,5.12,BR,1667760262
346,aklavik,68.2191,-135.0107,-19.18,85,17,2.86,CA,1667760263
347,hovd,48.0056,91.6419,-0.36,65,100,2.02,MN,1667760263
348,broken hill,-31.95,141.4333,16.35,61,5,2.96,AU,1667760263
349,lakes entrance,-37.8811,147.981,11.76,86,66,2.08,AU,1667760264
350,honiara,-9.4333,159.95,25.07,87,90,1.36,SB,1667760264
351,birao,10.2849,22.7882,26.97,28,100,2.51,CF,1667760265
352,champasak,14.75,106.0,22.5,85,67,0.48,LA,1667760265
353,vanimo,-2.6741,141.3028,25.17,89,100,0.48,PG,1667760266
354,urengoy,65.9667,78.3667,-12.11,98,97,1.59,RU,1667760266
355,hailey,43.5196,-114.3153,6.05,53,75,4.63,US,1667760267
356,caravelas,-17.7125,-39.2481,24.63,58,96,4.97,BR,1667760267
357,thongwa,16.7619,96.5278,26.09,82,0,2.32,MM,1667760267
358,itoman,26.1247,127.6694,23.01,78,100,7.2,JP,1667760268
359,progreso,21.2833,-89.6667,30.62,55,53,5.45,MX,1667760026
360,ossora,59.2353,163.0719,-3.88,83,100,2.97,RU,1667760268
361,magadan,59.5667,150.8,-5.26,78,100,5.95,RU,1667760269
362,nizwa,22.9333,57.5333,25.04,40,74,1.61,OM,1667760269
363,faanui,-16.4833,-151.75,25.51,85,100,9.05,PF,1667760270
